code,currency,date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
001,TZS,2026-02-20,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112568135410.0,112568135410.0
001,TZS,2026-02-19,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112401224933.0,112401224933.0
001,TZS,2026-02-18,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112318693507.0,112318693507.0
001,TZS,2026-02-17,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112155626743.0,112155626743.0
001,TZS,2026-02-16,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112214266569.0,112214266569.0
001,TZS,2026-02-15,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-14,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-13,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-12,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111450120454.0,111450120454.0
001,TZS,2026-02-11,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111062007037.0,111062007037.0
001,TZS,2026-02-10,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,110659472411.0,110659472411.0
001,TZS,2026-02-09,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,110407176977.0,110407176977.0
001,TZS,2026-02-08,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,109636747186.0,109636747186.0
001,TZS,2026-02-07,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,109636747186.0,109636747186.0
001,TZS,2026-02-06,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,109636747186.0,109636747186.0
001,TZS,2026-02-05,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,109016576201.0,109016576201.0
001,TZS,2026-02-04,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,108266038155.0,108266038155.0
001,TZS,2026-02-03,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,107652395961.0,107652395961.0
001,TZS,2026-02-02,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,107049671257.0,107049671257.0
001,TZS,2026-02-01,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,105712402924.0,105712402924.0
001,TZS,2026-01-31,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,105712402924.0,105712402924.0
001,TZS,2026-01-30,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,104832724745.0,104832724745.0
001,TZS,2026-01-29,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,104310009547.0,104310009547.0
001,TZS,2026-01-28,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,103670373229.0,103670373229.0
001,TZS,2026-01-27,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,103435038200.0,103435038200.0
001,TZS,2026-01-26,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,103021121313.0,103021121313.0
001,TZS,2026-01-25,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101407259797.0,101407259797.0
001,TZS,2026-01-24,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101407259797.0,101407259797.0
001,TZS,2026-01-23,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101407259797.0,101407259797.0
001,TZS,2026-01-22,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,100944305986.0,100944305986.0
001,TZS,2026-01-21,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101121001163.0,101121001163.0
001,TZS,2026-01-20,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101212547715.0,101212547715.0
001,TZS,2026-01-19,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101178522116.0,101178522116.0
001,TZS,2026-01-18,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101001287822.0,101001287822.0
001,TZS,2026-01-17,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101001287822.0,101001287822.0
001,TZS,2026-01-16,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,101001287822.0,101001287822.0
